epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,7222.53,0.76008,0.44981,1.07153,0.92311,0.84258,0.94914,0.71423,0.92017,0.47384,1.12215,0.000165027,0.000165027,0.000165027
121,7281.71,0.75701,0.44695,1.06787,0.8548,0.90433,0.89302,0.66745,0.91761,0.47101,1.11644,0.000159952,0.000159952,0.000159952
122,7342.55,0.75442,0.44212,1.06843,0.85044,0.90548,0.8753,0.66131,0.92412,0.47467,1.12423,0.000154877,0.000154877,0.000154877
123,7403.46,0.75731,0.44465,1.07033,0.87312,0.8686,0.94741,0.70272,0.91718,0.47268,1.12076,0.000149801,0.000149801,0.000149801
124,7463.61,0.74681,0.43898,1.0653,0.85132,0.91009,0.8745,0.66451,0.91586,0.47337,1.12917,0.000144726,0.000144726,0.000144726
125,7524.42,0.74674,0.44478,1.06789,0.8527,0.91136,0.87109,0.67267,0.91983,0.47513,1.14217,0.00013965,0.00013965,0.00013965
126,7583.71,0.75035,0.44028,1.06583,0.86289,0.89179,0.94659,0.7388,0.90943,0.4661,1.12545,0.000134575,0.000134575,0.000134575
127,7644.2,0.75,0.44034,1.06702,0.84665,0.90388,0.89239,0.67962,0.91674,0.47063,1.12822,0.0001295,0.0001295,0.0001295
128,7704.17,0.74559,0.43844,1.06514,0.84563,0.90885,0.94617,0.71431,0.9143,0.47124,1.1223,0.000124424,0.000124424,0.000124424
129,7763.69,0.7428,0.43617,1.05809,0.86467,0.90061,0.94889,0.70378,0.91541,0.46903,1.12022,0.000119349,0.000119349,0.000119349
130,7823.99,0.73605,0.43262,1.05637,0.91552,0.84978,0.94618,0.68911,0.91529,0.47447,1.125,0.000114273,0.000114273,0.000114273
131,7883.55,0.73932,0.43164,1.06234,0.87947,0.87394,0.94554,0.7027,0.91649,0.47028,1.1258,0.000109198,0.000109198,0.000109198
132,7944.2,0.73715,0.43292,1.05755,0.85599,0.90323,0.94602,0.71262,0.919,0.47115,1.1316,0.000104123,0.000104123,0.000104123
133,8004.2,0.73212,0.42901,1.05801,0.8482,0.90126,0.94773,0.69128,0.91751,0.47534,1.13138,9.90472e-05,9.90472e-05,9.90472e-05
134,8063.76,0.73127,0.42961,1.05464,0.92515,0.84897,0.94895,0.70187,0.92569,0.47248,1.13341,9.39718e-05,9.39718e-05,9.39718e-05
135,8123.99,0.73418,0.43059,1.05754,0.91411,0.88605,0.94973,0.69239,0.92192,0.46985,1.13882,8.88964e-05,8.88964e-05,8.88964e-05
136,8183.71,0.7323,0.42651,1.05475,0.91074,0.89927,0.94989,0.70271,0.92127,0.4671,1.13787,8.3821e-05,8.3821e-05,8.3821e-05
137,8243.69,0.7302,0.42637,1.05196,0.90649,0.86583,0.94858,0.6909,0.9239,0.47325,1.13248,7.87456e-05,7.87456e-05,7.87456e-05
138,8303.59,0.73079,0.42625,1.05432,0.90954,0.86993,0.94847,0.69041,0.92918,0.47768,1.13523,7.36702e-05,7.36702e-05,7.36702e-05
139,8362.56,0.7181,0.4189,1.04979,0.90944,0.85049,0.94855,0.701,0.92821,0.47495,1.14383,6.85948e-05,6.85948e-05,6.85948e-05
